shard_id,cohort,year,modality,split,purpose,outcome_window_hours,logical_size_mb,compressed_size_mb,status,required_for,registry_batch,freshness,lineage_tag,notes
icuD_2025_notes_train,D,2025,notes,train,analysis,48,7604,701,active,supplement,shadow_validation,shadow,scope_mismatch,D/2025/notes/train shard retained for non-atomic or non-target analysis.
icuD_2025_notes_valid,D,2025,notes,valid,analysis,72,7624,697,active,table2_candidate,2025Q4_reorg,shadow,modality_specific,D/2025/notes/valid shard retained for non-atomic or non-target analysis.
icuD_2025_notes_test,D,2025,notes,test,analysis,24,7646,700,active,not_table2,2025Q3_migration,historical,modality_specific,D/2025/notes/test shard retained for non-atomic or non-target analysis.
icuD_2025_waveform_train,D,2025,waveform,train,analysis,24,15555,1398,active,table1,shadow_validation,shadow,modality_specific,D/2025/waveform/train shard retained for non-atomic or non-target analysis.
icuD_2025_waveform_valid,D,2025,waveform,valid,analysis,72,15474,1402,active,not_table2,shadow_validation,shadow,candidate,D/2025/waveform/valid shard retained for non-atomic or non-target analysis.
icuD_2025_waveform_test,D,2025,waveform,test,analysis,48,15554,1407,active,table3,2025Q3_migration,shadow,modality_specific,D/2025/waveform/test shard retained for non-atomic or non-target analysis.
icuD_2025_imaging_train,D,2025,imaging,train,analysis,72,12190,1105,active,not_table2,2025Q4_reorg,historical,modality_specific,D/2025/imaging/train shard retained for non-atomic or non-target analysis.
icuD_2025_imaging_valid,D,2025,imaging,valid,analysis,72,12249,1106,active,not_table2,shadow_validation,historical,supplemental_analysis,D/2025/imaging/valid shard retained for non-atomic or non-target analysis.
icuD_2025_imaging_test,D,2025,imaging,test,analysis,24,12165,1098,active,table3,shadow_validation,current,supplemental_analysis,D/2025/imaging/test shard retained for non-atomic or non-target analysis.
icuA_2025_feature_debug_trace,A,2025,debug,all,debug,48,2200,190,active,debug,2025Q4_reorg,current,debug,debug shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_model_cache,A,2025,cache,all,cache,48,1300,120,active,cache,2025Q4_reorg,current,cache,cache shard retained in registry; not part of requested atomic Table 2 target.
icuA_2024_2025_bridge_tabular,A,mixed,tabular,all,archive,48,1800,160,active,archive,2025Q4_reorg,current,historical_pack,archive shard retained in registry; not part of requested atomic Table 2 target.
icuB_2025_labels,B,2025,labels,all,analysis,48,32,4,active,table2_candidate,2025Q4_reorg,current,cohort_specific,analysis shard retained in registry; not part of requested atomic Table 2 target.
icuC_2025_labels,C,2025,labels,all,analysis,48,30,4,active,table2_candidate,2025Q4_reorg,current,cohort_specific,analysis shard retained in registry; not part of requested atomic Table 2 target.
icuD_2025_labels,D,2025,labels,all,analysis,48,28,4,active,table2_candidate,2025Q4_reorg,current,cohort_specific,analysis shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_tabular_calibration,A,2025,tabular,calibration,analysis,48,95,9,active,figure4,2025Q4_reorg,current,non_table2_split,analysis shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_tabular_external_holdout,A,2025,tabular,external,analysis,48,160,16,active,supplement,2025Q4_reorg,current,non_table2_split,analysis shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_labels_72h,A,2025,labels,all,analysis,72,36,4,active,table2_candidate,2025Q4_reorg,current,window_variant,analysis shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_schema_72h,A,2025,metadata,all,analysis,72,2,1,active,table2_candidate,2025Q4_reorg,current,window_variant,analysis shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_table2_manual_audit,A,2025,raw,all,audit,48,7800,710,active,table2_audit,2025Q4_reorg,current,audit_rebuild,audit shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_denominator_audit_log,A,2025,audit,all,audit,48,900,85,active,table2_audit,2025Q4_reorg,current,audit_rebuild,audit shard retained in registry; not part of requested atomic Table 2 target.
icuA_2025_clinician_notes_sample,A,2025,notes,sample,analysis,48,510,48,active,qualitative,2025Q4_reorg,current,modality_specific,analysis shard retained in registry; not part of requested atomic Table 2 target.
